iter	Passed	Remaining
0	11	1157
1	38	1902
2	88	2872
3	113	2724
4	132	2512
5	147	2306
6	168	2243
7	191	2202
8	206	2083
9	236	2126
10	278	2257
11	305	2240
12	333	2234
13	356	2188
14	385	2182
15	407	2137
16	427	2085
17	446	2033
18	465	1985
19	485	1941
20	505	1901
21	527	1869
22	547	1832
23	567	1796
24	586	1760
25	607	1729
26	630	1704
27	652	1679
28	675	1654
29	696	1625
30	718	1598
31	745	1585
32	766	1557
33	788	1531
34	809	1503
35	833	1481
36	853	1453
37	874	1426
38	894	1398
39	914	1371
40	935	1346
41	957	1322
42	978	1297
43	998	1270
44	1022	1250
45	1050	1233
46	1072	1209
47	1093	1184
48	1114	1160
49	1137	1137
50	1161	1115
51	1207	1114
52	1231	1092
53	1280	1090
54	1321	1081
55	1356	1066
56	1402	1057
57	1432	1037
58	1463	1017
59	1491	994
60	1515	969
61	1538	942
62	1560	916
63	1586	892
64	1612	868
65	1635	842
66	1661	818
67	1685	793
68	1701	764
69	1726	739
70	1750	715
71	1776	690
72	1802	666
73	1825	641
74	1848	616
75	1868	590
76	1889	564
77	1911	539
78	1936	514
79	1959	489
80	1983	465
81	2007	440
82	2032	416
83	2056	391
84	2078	366
85	2102	342
86	2124	317
87	2151	293
88	2177	269
89	2201	244
90	2234	220
91	2266	197
92	2295	172
93	2326	148
94	2357	124
95	2381	99
96	2403	74
97	2423	49
98	2446	24
99	2468	0
