iter	Passed	Remaining
0	11	1091
1	33	1652
2	61	1997
3	88	2133
4	111	2114
5	137	2151
6	158	2109
7	184	2122
8	211	2135
9	232	2088
10	245	1985
11	267	1962
12	286	1917
13	309	1903
14	323	1833
15	340	1789
16	362	1769
17	384	1753
18	395	1686
19	411	1644
20	432	1628
21	457	1621
22	480	1608
23	490	1553
24	501	1503
25	520	1482
26	531	1436
27	551	1417
28	571	1399
29	596	1391
30	614	1368
31	632	1343
32	644	1307
33	669	1299
34	694	1290
35	704	1253
36	725	1234
37	744	1214
38	764	1195
39	781	1172
40	801	1153
41	822	1136
42	843	1118
43	863	1098
44	882	1079
45	899	1056
46	919	1036
47	939	1017
48	952	991
49	979	979
50	998	959
51	1014	936
52	1036	918
53	1067	909
54	1080	884
55	1103	867
56	1119	844
57	1145	829
58	1169	812
59	1192	795
60	1208	772
61	1231	754
62	1255	737
63	1278	719
64	1299	699
65	1320	680
66	1341	660
67	1361	640
68	1382	621
69	1403	601
70	1416	578
71	1430	556
72	1453	537
73	1475	518
74	1501	500
75	1516	478
76	1536	458
77	1548	436
78	1566	416
79	1588	397
80	1608	377
81	1629	357
82	1651	338
83	1672	318
84	1693	298
85	1716	279
86	1739	259
87	1756	239
88	1777	219
89	1797	199
90	1819	179
91	1845	160
92	1856	139
93	1870	119
94	1880	98
95	1895	78
96	1911	59
97	1933	39
98	1943	19
99	1971	0
