iter	Passed	Remaining
0	24	1907
1	61	2393
2	81	2088
3	93	1785
4	116	1740
5	140	1738
6	172	1801
7	198	1783
8	221	1750
9	253	1776
10	285	1793
11	313	1775
12	339	1749
13	365	1724
14	392	1702
15	400	1602
16	419	1555
17	440	1516
18	465	1495
19	491	1473
20	521	1464
21	550	1450
22	588	1458
23	618	1442
24	643	1416
25	671	1394
26	700	1375
27	735	1365
28	776	1365
29	802	1337
30	826	1305
31	851	1277
32	875	1246
33	899	1217
34	922	1185
35	943	1153
36	975	1133
37	1004	1110
38	1029	1082
39	1060	1060
40	1086	1033
41	1110	1004
42	1129	971
43	1148	939
44	1170	910
45	1191	880
46	1211	850
47	1232	821
48	1252	792
49	1275	765
50	1297	737
51	1318	709
52	1337	681
53	1357	653
54	1377	626
55	1400	600
56	1420	573
57	1441	546
58	1461	520
59	1483	494
60	1506	469
61	1535	445
62	1562	421
63	1587	396
64	1607	371
65	1629	345
66	1649	319
67	1668	294
68	1688	269
69	1714	244
70	1737	220
71	1758	195
72	1779	170
73	1798	145
74	1818	121
75	1838	96
76	1859	72
77	1880	48
78	1900	24
79	1920	0
